45v47d06052023;39;06.05.2023;16:15;45;Mirandes;47;R. Racing Club;1;1;57;43;16;10;5;2;13;1
30v15d05052023;39;05.05.2023;21:00;30;Alaves;15;Granada;1;1;51;49;16;7;5;2;6;5
59v67d01052023;38;01.05.2023;21:00;59;Burgos CF;67;Villarreal B;1;0;34;66;13;16;5;6;8;7
11v31d01052023;38;01.05.2023;18:30;11;Malaga;31;Huesca;0;0;63;37;12;7;1;2;4;1
23v44d01052023;38;01.05.2023;16:15;23;Real Sporting;44;Lugo;3;1;46;54;14;3;7;1;7;6
29v24d30042023;38;30.04.2023;21:00;29;Real Zaragoza;24;Las Palmas;1;1;26;74;12;17;5;6;4;6
15v22d30042023;38;30.04.2023;18:30;15;Granada;22;Eibar;1;1;56;44;10;6;5;1;1;4
40v46d30042023;38;30.04.2023;16:15;40;Real Oviedo;46;Ponferradina;3;2;56;44;14;7;6;4;7;2
66v45d30042023;38;30.04.2023;14:00;66;Andorra;45;Mirandes;0;1;69;31;9;11;2;3;6;4
38v27d29042023;38;29.04.2023;21:00;38;Tenerife;27;Leganes;1;0;49;51;11;11;2;1;6;2
39v52d29042023;38;29.04.2023;18:30;39;Albacete;52;Cartagena;1;1;36;64;11;10;5;3;2;7
10v30d29042023;38;29.04.2023;16:15;10;Levante;30;Alaves;2;0;48;52;15;8;7;0;11;8
47v60d28042023;38;28.04.2023;21:00;47;R. Racing Club;60;UD Ibiza;1;0;54;46;10;4;5;1;6;3
31v38d24042023;37;24.04.2023;21:00;31;Huesca;38;Tenerife;1;1;39;61;6;14;2;7;3;7
30v27d23042023;37;23.04.2023;21:00;30;Alaves;27;Leganes;2;1;53;47;13;4;3;1;6;0
45v59d23042023;37;23.04.2023;18:30;45;Mirandes;59;Burgos CF;2;1;61;39;8;6;4;1;2;1
47v15d23042023;37;23.04.2023;18:30;47;R. Racing Club;15;Granada;1;0;41;59;10;5;1;1;8;4
44v11d23042023;37;23.04.2023;14:00;44;Lugo;11;Malaga;0;2;49;51;11;9;2;5;4;7
60v40d22042023;37;22.04.2023;21:00;60;UD Ibiza;40;Real Oviedo;1;2;50;50;12;3;4;2;3;4
24v10d22042023;37;22.04.2023;18:30;24;Las Palmas;10;Levante;0;0;60;40;8;9;3;1;6;3
52v23d22042023;37;22.04.2023;16:15;52;Cartagena;23;Real Sporting;2;1;67;33;12;6;4;1;2;1
46v66d22042023;37;22.04.2023;16:15;46;Ponferradina;66;Andorra;1;4;27;73;7;15;2;7;1;3
67v39d22042023;37;22.04.2023;14:00;67;Villarreal B;39;Albacete;1;2;47;53;14;22;5;8;4;2
22v29d21042023;37;21.04.2023;21:00;22;Eibar;29;Real Zaragoza;1;1;64;36;17;16;7;2;9;9
10v45d17042023;36;17.04.2023;21:00;10;Levante;45;Mirandes;1;2;64;36;20;3;7;3;9;1
27v67d16042023;36;16.04.2023;21:00;27;Leganes;67;Villarreal B;1;0;46;54;14;7;3;2;4;4
11v52d16042023;36;16.04.2023;18:30;11;Malaga;52;Cartagena;1;0;44;56;8;13;3;2;3;4
38v60d16042023;36;16.04.2023;18:30;38;Tenerife;60;UD Ibiza;4;0;55;45;17;4;8;1;4;2
23v30d16042023;36;16.04.2023;16:15;23;Real Sporting;30;Alaves;0;0;51;49;5;7;0;1;4;5
